"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,265,"Interval","Wide","Moderate",50,6,"0.82"
"Power","F2.ON","N",0.95,266,"Interval","Wide","Moderate",50,10,"0.89"
"Power","F2.ON","N",0.95,267,"Interval","Wide","Moderate",50,16,"0.93"
"Power","F2.ON","N",0.95,268,"Interval","Wide","Moderate",100,6,"0.99"
"Power","F2.ON","N",0.95,269,"Interval","Wide","Moderate",100,10,"1.00"
"Power","F2.ON","N",0.95,270,"Interval","Wide","Moderate",100,16,"1.00"
"Power","F2.ON","N",0.95,271,"Interval","Wide","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,272,"Interval","Wide","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,273,"Interval","Wide","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,274,"Interval","Wide","Moderate",3000,6,"1.00"
"Power","F2.ON","N",0.95,275,"Interval","Wide","Moderate",3000,10,"1.00"
"Power","F2.ON","N",0.95,276,"Interval","Wide","Moderate",3000,16,"1.00"
"Power","F2.ON","N",0.95,277,"Interval","Wide","Strong",50,6,"0.80"
"Power","F2.ON","N",0.95,278,"Interval","Wide","Strong",50,10,"0.88"
"Power","F2.ON","N",0.95,279,"Interval","Wide","Strong",50,16,"0.94"
"Power","F2.ON","N",0.95,280,"Interval","Wide","Strong",100,6,"1.00"
"Power","F2.ON","N",0.95,281,"Interval","Wide","Strong",100,10,"1.00"
"Power","F2.ON","N",0.95,282,"Interval","Wide","Strong",100,16,"1.00"
"Power","F2.ON","N",0.95,283,"Interval","Wide","Strong",300,6,"1.00"
"Power","F2.ON","N",0.95,284,"Interval","Wide","Strong",300,10,"1.00"
"Power","F2.ON","N",0.95,285,"Interval","Wide","Strong",300,16,"1.00"
"Power","F2.ON","N",0.95,286,"Interval","Wide","Strong",3000,6,"1.00"
"Power","F2.ON","N",0.95,287,"Interval","Wide","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,288,"Interval","Wide","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,289,"Interval","High","Independence",50,6,"0.93"
"Power","F2.ON","N",0.95,290,"Interval","High","Independence",50,10,"0.92"
"Power","F2.ON","N",0.95,291,"Interval","High","Independence",50,16,"0.93"
"Power","F2.ON","N",0.95,292,"Interval","High","Independence",100,6,"1.00"
"Power","F2.ON","N",0.95,293,"Interval","High","Independence",100,10,"1.00"
"Power","F2.ON","N",0.95,294,"Interval","High","Independence",100,16,"1.00"
"Power","F2.ON","N",0.95,295,"Interval","High","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,296,"Interval","High","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,297,"Interval","High","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,298,"Interval","High","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,299,"Interval","High","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,300,"Interval","High","Independence",3000,16,"1.00"
