"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","C",0.1,284,"Interval","Wide","Strong",300,10,"0.18"
"Power","F2.ON","C",0.1,285,"Interval","Wide","Strong",300,16,"0.11"
"Power","F2.ON","C",0.1,286,"Interval","Wide","Strong",3000,6,"0.79"
"Power","F2.ON","C",0.1,287,"Interval","Wide","Strong",3000,10,"0.88"
"Power","F2.ON","C",0.1,288,"Interval","Wide","Strong",3000,16,"0.87"
"Power","F2.ON","C",0.1,289,"Interval","High","Independence",50,6,"0.13"
"Power","F2.ON","C",0.1,290,"Interval","High","Independence",50,10,"0.14"
"Power","F2.ON","C",0.1,291,"Interval","High","Independence",50,16,"0.15"
"Power","F2.ON","C",0.1,292,"Interval","High","Independence",100,6,"0.05"
"Power","F2.ON","C",0.1,293,"Interval","High","Independence",100,10,"0.13"
"Power","F2.ON","C",0.1,294,"Interval","High","Independence",100,16,"0.12"
"Power","F2.ON","C",0.1,295,"Interval","High","Independence",300,6,"0.21"
"Power","F2.ON","C",0.1,296,"Interval","High","Independence",300,10,"0.17"
"Power","F2.ON","C",0.1,297,"Interval","High","Independence",300,16,"0.15"
"Power","F2.ON","C",0.1,298,"Interval","High","Independence",3000,6,"0.89"
"Power","F2.ON","C",0.1,299,"Interval","High","Independence",3000,10,"0.84"
"Power","F2.ON","C",0.1,300,"Interval","High","Independence",3000,16,"0.88"
"Power","F2.ON","C",0.1,301,"Interval","High","Moderate",50,6,"0.14"
"Power","F2.ON","C",0.1,302,"Interval","High","Moderate",50,10,"0.09"
"Power","F2.ON","C",0.1,303,"Interval","High","Moderate",50,16,"0.06"
"Power","F2.ON","C",0.1,304,"Interval","High","Moderate",100,6,"0.06"
"Power","F2.ON","C",0.1,305,"Interval","High","Moderate",100,10,"0.11"
"Power","F2.ON","C",0.1,306,"Interval","High","Moderate",100,16,"0.06"
"Power","F2.ON","C",0.1,307,"Interval","High","Moderate",300,6,"0.21"
"Power","F2.ON","C",0.1,308,"Interval","High","Moderate",300,10,"0.17"
"Power","F2.ON","C",0.1,309,"Interval","High","Moderate",300,16,"0.16"
"Power","F2.ON","C",0.1,310,"Interval","High","Moderate",3000,6,"0.80"
"Power","F2.ON","C",0.1,311,"Interval","High","Moderate",3000,10,"0.94"
"Power","F2.ON","C",0.1,312,"Interval","High","Moderate",3000,16,"0.89"
"Power","F2.ON","C",0.1,313,"Interval","High","Strong",50,6,"0.11"
"Power","F2.ON","C",0.1,314,"Interval","High","Strong",50,10,"0.18"
"Power","F2.ON","C",0.1,315,"Interval","High","Strong",50,16,"0.11"
"Power","F2.ON","C",0.1,316,"Interval","High","Strong",100,6,"0.12"
"Power","F2.ON","C",0.1,317,"Interval","High","Strong",100,10,"0.09"
"Power","F2.ON","C",0.1,318,"Interval","High","Strong",100,16,"0.12"
"Power","F2.ON","C",0.1,319,"Interval","High","Strong",300,6,"0.13"
"Power","F2.ON","C",0.1,320,"Interval","High","Strong",300,10,"0.13"
"Power","F2.ON","C",0.1,321,"Interval","High","Strong",300,16,"0.13"
"Power","F2.ON","C",0.1,322,"Interval","High","Strong",3000,6,"0.84"
"Power","F2.ON","C",0.1,323,"Interval","High","Strong",3000,10,"0.89"
"Power","F2.ON","C",0.1,324,"Interval","High","Strong",3000,16,"0.85"
