"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
13109;100;10;0;2;1;0.656;0.759;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;2;1;0.672;0.759;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;2;1;0.723;0.691;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;2;1;0.68;0.787;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13495;100;10;0;2;1;0.724;0.711;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1361;100;10;0;2;1;0.738;0.702;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;2;1;0.69;0.754;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;2;1;0.616;0.72;FALSE;FALSE;"NOT-flipped"
13810;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1395;100;10;0;2;1;0.713;0.698;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;2;1;0.731;0.716;FALSE;FALSE;"NOT-flipped"
14687;100;10;0;2;1;0.668;0.639;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14800;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14857;100;10;0;2;1;0.694;0.706;FALSE;FALSE;"NOT-flipped"
14984;100;10;0;2;1;0.538;0.651;FALSE;FALSE;"NOT-flipped"
15487;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
15732;100;10;0;2;1;0.607;0.73;FALSE;FALSE;"NOT-flipped"
15807;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
16409;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
16434;100;10;0;2;1;0.606;0.75;FALSE;FALSE;"NOT-flipped"
1667;100;10;0;2;1;0.706;0.64;FALSE;FALSE;"NOT-flipped"
16924;100;10;0;2;1;0.634;0.648;FALSE;FALSE;"NOT-flipped"
17347;100;10;0;2;1;0.676;0.723;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;2;1;0.609;0.711;FALSE;FALSE;"NOT-flipped"
17746;100;10;0;2;1;0.695;0.71;FALSE;FALSE;"NOT-flipped"
18131;100;10;0;2;1;0.768;0.579;FALSE;FALSE;"NOT-flipped"
18172;100;10;0;2;1;0.591;0.599;FALSE;FALSE;"NOT-flipped"
18267;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
18293;100;10;0;2;1;0.664;0.631;FALSE;FALSE;"NOT-flipped"
18434;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1901;100;10;0;2;1;0.712;0.668;FALSE;FALSE;"NOT-flipped"
19019;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19037;100;10;0;2;1;0.661;0.624;FALSE;FALSE;"NOT-flipped"
19404;100;10;0;2;1;0.74;0.723;FALSE;FALSE;"NOT-flipped"
1955;100;10;0;2;1;0.623;0.7;FALSE;FALSE;"NOT-flipped"
19606;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
19637;100;10;0;2;1;NA;NA;TRUE;FALSE;"NOT-IMP"
19807;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2086;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2358;100;10;0;2;1;0.554;0.738;FALSE;FALSE;"NOT-flipped"
2558;100;10;0;2;1;0.622;0.594;FALSE;FALSE;"NOT-flipped"
2598;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2655;100;10;0;2;1;0.725;0.695;FALSE;FALSE;"NOT-flipped"
2675;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
2922;100;10;0;2;1;0.653;0.657;FALSE;FALSE;"NOT-flipped"
2961;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3416;100;10;0;2;1;0.72;0.71;FALSE;FALSE;"NOT-flipped"
3442;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
3569;100;10;0;2;1;0.727;0.708;FALSE;FALSE;"NOT-flipped"
3981;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4156;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4240;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4265;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
4365;100;10;0;2;1;0.723;0.769;FALSE;FALSE;"NOT-flipped"
4414;100;10;0;2;1;0.604;0.58;FALSE;FALSE;"NOT-flipped"
4941;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
5788;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6518;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6846;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
6884;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7029;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7146;100;10;0;2;1;0.713;0.732;FALSE;FALSE;"NOT-flipped"
7195;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
7412;100;10;0;2;1;0.606;0.726;FALSE;FALSE;"NOT-flipped"
7466;100;10;0;2;1;0.671;0.743;FALSE;FALSE;"NOT-flipped"
7495;100;10;0;2;1;0.661;0.68;FALSE;FALSE;"NOT-flipped"
7849;100;10;0;2;1;0.733;0.773;FALSE;FALSE;"NOT-flipped"
7936;100;10;0;2;1;0.587;0.754;FALSE;FALSE;"NOT-flipped"
8100;100;10;0;2;1;0.688;0.731;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;2;1;0.676;0.702;FALSE;FALSE;"NOT-flipped"
8255;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8550;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
8564;100;10;0;2;1;0.706;0.666;FALSE;FALSE;"NOT-flipped"
8738;100;10;0;2;1;0.618;0.627;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;2;1;0.714;0.649;FALSE;FALSE;"NOT-flipped"
8927;100;10;0;2;1;0.727;0.709;FALSE;FALSE;"NOT-flipped"
9532;100;10;0;2;1;0.703;0.689;FALSE;FALSE;"NOT-flipped"
9607;100;10;0;2;1;0.646;0.635;FALSE;FALSE;"NOT-flipped"
9678;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
9970;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10023;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
10069;100;10;0;2;2;0.876;0.844;FALSE;FALSE;"NOT-flipped"
10216;100;10;0;2;2;0.741;0.857;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;2;2;0.85;0.888;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;2;2;0.862;0.861;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;2;2;0.841;0.806;FALSE;FALSE;"NOT-flipped"
11098;100;10;0;2;2;0.887;0.885;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;2;2;0.892;0.856;FALSE;FALSE;"NOT-flipped"
