"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
13110;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
13213;100;10;0;2;2;0.888;0.784;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;2;2;0.871;0.896;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;2;2;0.874;0.9;FALSE;FALSE;"NOT-flipped"
13495;100;10;0;2;2;0.884;0.885;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;2;2;0.874;0.844;FALSE;FALSE;"NOT-flipped"
1361;100;10;0;2;2;0.887;0.851;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;2;2;0.886;0.852;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
13810;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
1395;100;10;0;2;2;0.837;0.888;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
14687;100;10;0;2;2;0.822;0.851;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;2;2;0.884;0.871;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;2;2;0.874;0.881;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
14984;100;10;0;2;2;0.842;0.857;FALSE;FALSE;"NOT-flipped"
15487;100;10;0;2;2;0.839;0.87;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
15807;100;10;0;2;2;0.875;0.847;FALSE;FALSE;"NOT-flipped"
16409;100;10;0;2;2;0.883;0.864;FALSE;FALSE;"NOT-flipped"
16434;100;10;0;2;2;0.793;0.89;FALSE;FALSE;"NOT-flipped"
1667;100;10;0;2;2;0.868;0.859;FALSE;FALSE;"NOT-flipped"
16924;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
17347;100;10;0;2;2;0.871;0.863;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;2;2;NA;NA;FALSE;TRUE;"NOT-IMP"
